timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1635409575820,1672,01_launch,200,"Number of samples in transaction : 5, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-1,,true,,6110,1808,1,1,null,0,321,0
1635409576093,629,80 launch,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,664,293,1,1,http://18.221.250.120:1080/Webtours/,628,0,352
1635409576750,237,81 launch,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,1007,351,1,1,http://18.221.250.120:1080/Webtours/header.html,237,0,0
1635409576990,290,82 launch,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,1025,362,1,1,http://18.221.250.120:1080/cgi-bin/welcome.pl?signOff=true,287,0,0
1635409577291,235,86 launch,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,1659,399,1,1,http://18.221.250.120:1080/WebTours/home.html,235,0,0
1635409577530,281,85 launch,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,1755,403,1,1,http://18.221.250.120:1080/cgi-bin/nav.pl?in=home,277,0,0
1635409577817,1081,02_login,200,"Number of samples in transaction : 3, number of failing samples : 1",jp@gc - Ultimate Thread Group 1-1,,false,,3595,1333,1,1,null,0,9,0
1635409577818,296,89 login,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,691,578,1,1,http://18.221.250.120:1080/cgi-bin/login.pl,291,0,0
1635409578116,282,90 login,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,1749,380,1,1,http://18.221.250.120:1080/cgi-bin/nav.pl?page=menu&in=home,279,0,0
1635409578402,503,91 login,200,OK,jp@gc - Ultimate Thread Group 1-1,text,false,"Test failed: text expected to contain /Welcome, <b>ashu</b>, to the Web Tours reservation pages/",1155,375,1,1,http://18.221.250.120:1080/cgi-bin/login.pl?intro=true,499,0,230
1635409578909,547,03_signoff,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-1,,true,,2782,774,1,1,null,0,8,0
1635409578910,272,96 signoff,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,1025,392,1,1,http://18.221.250.120:1080/cgi-bin/welcome.pl?signOff=1,271,0,0
1635409579188,275,97 signoff,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,1757,382,1,1,http://18.221.250.120:1080/cgi-bin/nav.pl?in=home,271,0,0
1635409579466,1428,01_launch,200,"Number of samples in transaction : 5, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-1,,true,,6112,1892,1,1,null,0,30,0
1635409579486,445,80 launch,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,664,321,1,1,http://18.221.250.120:1080/Webtours/,445,0,222
1635409579933,223,81 launch,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,1007,379,1,1,http://18.221.250.120:1080/Webtours/header.html,222,0,0
1635409580158,268,82 launch,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,1025,390,1,1,http://18.221.250.120:1080/cgi-bin/welcome.pl?signOff=true,264,0,0
1635409580429,223,86 launch,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,1659,399,1,1,http://18.221.250.120:1080/WebTours/home.html,223,0,0
